Date,Trapline,Habitat,Species,Age,Sex,TagLeft,TagRight,id,Weight,ReproCond,Hindfoot,SkullWidth,SkullLength,OrangeMites 
16-08-11,701,BSA,DM,SA,M,50506,50505,LT50506 TR50505,15.5,NSCR,19,12.8,27.4,Y
16-08-22,701,BSA,DM,SA,M,50506,50505,LT50506 TR50505,17,NSCR,18,12.8,25.2,Y
16-07-07,112,SMH,DM,SA,M,50525,50524,LT50525 TR50524,18.5,SCR,23,12.8,28.6,N
16-07-21,112,SMH,DM,SA,M,50525,50524,LT50525 TR50524,18,SCR,18,12.8,25.9,N
16-08-05,112,SMH,DM,A,M,50525,50524,LT50525 TR50524,20.5,SCR,19,13,27.2,Y
16-08-06,112,SMH,DM,A,M,50525,50524,LT50525 TR50524,19,SCR,19,12.9,27.3,Y
16-07-05,111,SMH,DM,SA,M,50530,50529,LT50530 TR50529,16,NSCR,19,13,27.8,N
16-07-19,111,SMH,DM,SA,M,50530,50529,LT50530 TR50529,18,NSCR,19,12.9,27.7,N
16-07-20,111,SMH,DM,SA,M,50530,50529,LT50530 TR50529,17.5,NSCR,18,12.6,27.7,N
16-07-21,111,SMH,DM,SA,M,50530,50529,LT50530 TR50529,18.5,NSCR,18,13,27.8,N
16-08-02,111,SMH,DM,A,M,50530,50529,LT50530 TR50529,19,NSCR,19,12.8,28.9,Y
16-07-07,111,SMH,DM,A,M,50572,50571,LT50572 TR50571,22,SCR,23,13,28.9,N
16-08-02,111,SMH,DM,A,M,50572,50571,LT50572 TR50571,20.5,SCR,21,13.1,27.8,Y
16-08-04,111,SMH,DM,A,M,50572,50571,LT50572 TR50571,21,SCR,21,12.9,27.5,Y
16-07-21,112,SMH,DM,A,M,50574,50573,LT50574 TR50573,21.5,SCR,18.5,12.9,27.2,N
16-08-02,112,SMH,DM,SA,M,50574,50573,LT50574 TR50573,18.5,SCR,19,13,26.9,Y
16-08-03,112,SMH,DM,SA,M,50574,50573,LT50574 TR50573,17,NSCR,19,13,27.3,Y
16-08-05,112,SMH,DM,A,M,50574,50573,LT50574 TR50573,20,SCR,19,13,27.5,Y
16-06-16,401,C,DM,SA,M,50590,50589,LT50590 TR50589,16,SCR,17,11.9,27.2,N
16-06-28,401,C,DM,SA,M,50590,50589,LT50590 TR50589,18,SCR,20,12.5,27.1,N
16-06-29,401,C,DM,SA,M,50590,50589,LT50590 TR50589,17,SCR,20,13.5,27.5,N
16-06-30,401,C,DM,SA,M,50590,50589,LT50590 TR50589,16,SCR,19,12.6,27.8,N
16-07-13,401,C,DM,SA,M,50590,50589,LT50590 TR50589,16,SCR,19,12.7,26.1,N
16-07-14,401,C,DM,SA,M,50590,50589,LT50590 TR50589,17,SCR,17,13,25.8,N
16-07-23,303,DMW,DM,SA,M,50590,50589,LT50590 TR50589,18.5,SCR,18,12.9,26.9,Y
16-07-24,401,C,DM,SA,M,50590,50589,LT50590 TR50589,16.5,SCR,20,12.9,27.5,Y
16-07-25,401,C,DM,SA,M,50590,50589,LT50590 TR50589,17,SCR,19,12.9,26.8,Y
16-08-09,303,DMW,DM,SA,M,50590,50589,LT50590 TR50589,17.5,NSCR,18.5,13.2,26,Y
16-08-11,303,DMW,DM,SA,M,50590,50589,LT50590 TR50589,17,NSCR,18,13,27.1,Y
16-08-22,303,DMW,DM,SA,M,50590,50589,LT50590 TR50589,18.5,SCR,19,13,27.4,Y
16-06-20,112,SMH,DM,SA,M,50595,50594,LT50595 TR50594,18,SCR,19.5,12.8,27.2,N
16-06-21,112,SMH,DM,A,M,50595,50594,LT50595 TR50594,19,SCR,20,12.7,25.5,N
16-07-07,112,SMH,DM,A,M,50595,50594,LT50595 TR50594,20,SCR,21,12.7,27.5,N
16-08-02,112,SMH,DM,A,M,50595,50594,LT50595 TR50594,21,SCR,20,12.8,27.6,Y
16-08-03,112,SMH,DM,A,M,50595,50594,LT50595 TR50594,19.5,SCR,19,12.7,26.6,Y
16-08-04,112,SMH,DM,A,M,50595,50594,LT50595 TR50594,19,SCR,19.5,12.9,26.8,Y
16-08-05,112,SMH,DM,A,M,50595,50594,LT50595 TR50594,19,SCR,19,13,27.2,Y
16-08-06,112,SMH,DM,A,M,50595,50594,LT50595 TR50594,22,SCR,19,12.6,25.5,Y
16-08-07,112,SMH,DM,A,M,50595,50594,LT50595 TR50594,20,SCR,19,13.1,27.2,Y
16-06-22,111,SMH,DM,A,M,50602,50601,LT50602 TR50601,22.5,SCR,18,12.7,27.5,N
16-07-06,111,SMH,DM,A,M,50602,50601,LT50602 TR50601,23,SCR,19,12.8,26.2,N
16-07-07,111,SMH,DM,A,M,50602,50601,LT50602 TR50601,21,SCR,19,12.9,28.7,N
16-07-19,111,SMH,DM,A,M,50602,50601,LT50602 TR50601,22,SCR,18,13.3,27.4,N
16-07-20,111,SMH,DM,A,M,50602,50601,LT50602 TR50601,22,SCR,18,13.3,27.5,N
16-07-21,111,SMH,DM,A,M,50602,50601,LT50602 TR50601,22,SCR,18,12.6,25.3,N
16-08-02,111,SMH,DM,A,M,50602,50601,LT50602 TR50601,21,SCR,18.5,12.9,27.5,Y
16-08-02,203,COMW,DM,SA,M,50665,50664,LT50665 TR50664,17,NSCR,18,13.2,25.3,N
16-08-03,203,COMW,DM,SA,M,50665,50664,LT50665 TR50664,16.5,NSCR,18,13,27.3,N
16-08-04,203,COMW,DM,SA,M,50665,50664,LT50665 TR50664,16.5,NSCR,18,12.9,26,N
16-08-16,203,COMW,DM,SA,M,50665,50664,LT50665 TR50664,17,NSCR,19,13,27.5,Y
16-07-23,801,WPRP,DM,A,M,50677,50676,LT50677 TR50676,24,SCR,18.5,13.6,30.2,Y
16-06-29,801,WPRP,DM,A,M,50677,50676,LT50677 TR50676,22.5,SCR,19,13.6,28.8,N
16-06-30,801,WPRP,DM,A,M,50677,50676,LT50677 TR50676,22.5,SCR,18,12.8,28.6,N
16-07-12,801,WPRP,DM,A,M,50677,50676,LT50677 TR50676,23,SCR,19,12.9,28.7,N
16-07-13,801,WPRP,DM,SA,M,50677,50676,LT50677 TR50676,18,SCR,20,12.9,26.8,N
16-07-14,801,WPRP,DM,A,M,50677,50676,LT50677 TR50676,19,SCR,19,13,27.6,N
16-07-14,503,WPWS,DM,SA,M,50742,50741,LT50742 TR50741,16,NR,17,12.9,27,N
16-07-24,503,WPWS,DM,A,M,50742,50741,LT50742 TR50741,25,NSCR,20,12.8,26.7,Y
16-07-25,701,BSA,DM,A,F,50758,50757,LT50758 TR50757,21,NR,20,13,29.4,N
16-08-10,701,BSA,DM,A,F,50758,50757,LT50758 TR50757,19,NR,18,13.1,28,Y
16-08-11,701,BSA,DM,SA,F,50758,50757,LT50758 TR50757,18,NR,19,12.7,27.6,Y
16-08-22,701,BSA,DM,A,F,50758,50757,LT50758 TR50757,20.5,NR,18,13,26.4,Y
